x	y
Wish Birthday Name: Ummehani Date: March 11, 2017 Time: 12 00 am	Not Found
My schedule	Not Found
Please	Not Found
Latest news ? About Chennai	Found
Remind me of completing quiz and freecharge at 10 PM today	Found
Can you please remind me for.......	Found
Today remind me for t.p.change @10.30 am	Not Found
How to get Jio conference call	Found
Remind me today at 6.00 AM in the morning about pay slips	Found
Shraddha set a reminder for tomorrow	Not Found
Also set 2nd reminder at 6 am	Not Found
Please schedule the same reminder again	Not Found
Kindly halt reminders for 2 days starting now	Found
Can you set me a reminder for my deposits?	Found
Remind me on 18thdec to wish birthday in the morning	Found
Tanu remind me to pay the credit card payment on 30 dec at 4 pm	Found
Ok tell me, how do you remind users	Found
Can you please Remind me to text iram at 11:00 pm?	Found
It was set for pm	Not Found
I want daily remainder	Not Found
Hey pls remind me to send mr Kishore a mail at 10 am	Found
Can you set a meal reminders for me	Not Found
Remind to diposit cheque hitech engineering	Found
at 8 am	Not Found
Reminder for payment car insurance on 5 Jan	Found
Remind me to have tiffin	Found
Today...	Not Found
Alarm 1.30 pm	Not Found
Hi thanks for reminder	Not Found
Remind of talking to Khushhal at 5:30 pm today	Found
Thank you. I need reminder for everyday.	Not Found
Set a reminder for 9 :00am	Not Found
Please schedule a reminder for me	Not Found
Hi Sayali what is ur way to inform about meeting	Found
Please remind me 8am to 10pm	Not Found
Thankx but you are late...!!	Found
How 2 call them	Not Found
K thanks for reminding	Not Found
Schedule both	Not Found
Good morning...	Not Found
pls tell me about latest hollywood movie came in theatres	Found
Can u set a reminder for tomorrow 9 am	Not Found
1 pm	Not Found
9 PM	Not Found
Any further reminder is there now?	Found
Remind to take tripod tomorrow at 5 pm	Found
Thanks. Any plays around western suburbs this week ?	Found
Hi . I am in uk at present. Please remind me of taxi tomorow . 2 pm uk time	Found
ok	Not Found
Set a reminder to watch a movie tomorrow at 6 pm	Found
Remind me to go anywhere!!	Found
Remind me to renew insurance	Found
Go to gym reminder at 5:15 pm today	Found
I go to the classes every day at 5 o'clock u have to remind me every day please	Found
Remind me to study after 4 mins	Found
Thanks for reminding. Was a huge help.	Found
Remind me tomorrow at 10.30 am and again at 1 pm for lawyers meet about entod.	Found
U r all works are set in automation .....	Found
Make a reminder of today of 10.30 I have to go to meet someone	Found
Can you just get it scheduled in weekdays only	Not Found
Can you remind me after 1 hour also	Not Found
Remind me about kaidhi no150 online booking	Found
Y u guys r calling me at 2 in the morning	Found
Want to set a payment reminder for January 13, 2017	Not Found
Set 5 alarms	Not Found
Only 2 reminders a day pls	Not Found
Remind me once in 3hrs	Not Found
Hey will u plz remind me to bring a cake for my roomie	Found
What time is the next reminder set..?	Found
Please remind me to pick up flexes by 7pm	Found
Please schedule a reminder at 2.56pm today	Not Found
Can you please remind me of going to Manjiri's home?	Found
Please remind me skylark discussion with Manu tomorrow morning at 10:00 am	Found
Reminder for factory licences for Rishi Khemka	Found
Y you are nt reminding me	Not Found
I have placed a reminder for 11 am	Not Found
Can you remind me to give nikita her pills on Saturday	Found
Tell me about some hobby activities around mg road metro station	Found
Remind me everyday at 12 45 pm to have Isabgol	Found
Remind me for EPF mails today evening by 5pm	Found
Remind me at 9.00 am today that I have to get my bank passbook to office	Found
Also remind me today at 5am	Not Found
Remind me to inform Dhruv bsg	Found
Remind me to add green tea to ut	Found
Alarm???	Not Found
Can you set a reminder for me?	Not Found
goodmorning aditya .thanks for reminder	Not Found
Please refresh my reminders. daily alarm for 10:00 AM to 08:00 PM every 2 hours only. Thanks	Not Found
I need a daily reminder to take meds twice a day	Found
Hey plz me remind me after every two hours	Not Found
Remind me to take my resume and go	Found
I wanted only reminders in msg	Not Found
Remembered me daily at 11 pm for check the details of my vehicle	Found
Thanks for reminding Deepika.	Found
Hi remind me to msg the passport guy tomorrow	Found
Hey, Can you setup a meeting reminder with Mr. Aakrit Vaish tomorrow 12 noon?	Found
Remind me to leave office at 19:58	Found
I need repeat call for every 10 mins	Found
I need to make vehicle loan payment on 15th, please remind me on 14th to check if I have enough balance in my account	Found
Call Mr Rajiv at 11:30 today	Found
Remaind me tomorrow. 12pm for cheque book icici bank	Found
Remind me at 7pm that i need to go and buy a six subject notebook	Found
Only reminders??	Not Found
Remind to do	Not Found
I want to discontinue all the reminders	Found
I wanna discountinue reminder	Not Found
I need to make a call at 3pm	Found
Set at reminder for me at 1900 hours for credit card payment and car emi and give me another reminder at 2130 hrs today	Found
Remind me about everything	Found
Is there is any app which help me to make my schedule	Found
Please remind me after a 1hr plz	Not Found
Remind me to talk to gre coaching	Found
There will b two alarms one 5 am and the second on 6 am	Found
Remind me to pay electricity bill on this month 13th	Found
Remind me when RECHARGE100 will start working again	Found
Yo wasim... Need to set a reminder	Not Found
Remind me to take a resume printout of satish	Found
Can you remind me everyday with indian actors endorsements and news related to the fashion world?	Found
Remind me to check the wrestling stock	Found
Phone should be in online to get reminder	Not Found
Do you have something like Google search to get general info about anything	Found
Plz. Remind me to send a mail at 11:30	Found
Hi I need one reminder in evening	Not Found
one more reminder	Not Found
Who will be there in the call ?	Found
I thought it to be a software for reminding	Found
Remind me to get clothes stitched at 1200 today.	Found
Also remind me to complete my homework by tomorrow 12 pm	Found
Remind me to buy eggs today at 5:33pm	Found
Remind me to buy eggs	Found
Can this reminder set for food	Found
Reminder to bring card with seeds from office on 24 November	Found
Remind me to send weekly reports to college at 9pm today	Found
So u will remaind me na??	Not Found
Today One plus 3 dash sale pls remind december 30	Not Found
Reminder for reverse auction at 3.45 pm today	Found
How can I customise these reminders	Not Found
Can you make an another wakeup call at 7:30 AM	Found
Alarm after 5 min	Found
Pl remind by 7	Found
Reminder about Online application of coal India limited	Found
Nothing as of now... thank you	Found
I get these reminders all at once, only when I open haptik.	Not Found
yeah.....please remind i v to discuss Q paper with my 12th class at around 10 tomorrow.	Found
Set a reminder today at 10am	Not Found
How reminders work?	Found
can you remind me that back at 3 pm	Not Found
Thank you for reminding me so frequently	Not Found
Thank u soo mch...for such a good n appropriate remainder schedule..thanks alot..	Found
Good mrng I will tell u chhaya	Found
Set a reminder for me to print tickets	Found
I want reminder till 10 pm	Not Found
Remind me to wash my clothes yaa i always forget	Found
Set alarm at 9 am morning	Not Found
Remind to collect cloths	Found
I have another one reminder fr the night tabs	Found
Please Remind To Have Apple At 11:30 Am	Found
Remind me to go PETA for animal officer tommorow at 9 am	Found
Do i have to open the haptik app to see my reminder what kind of reminder is that???	Found
I have any schedules	Found
Mere ko mere 4 pm ka reminder nahi mila aur 4 30 ka reminder 3 40 a raha hai	Found
Today at 11:59pm	Not Found
Remind me to wash clothes at 20.00	Found
Remind me at 8 28 for watching chandra nandini today	Found
Can you please remind me arrangements	Not Found
Reminder for Indian idol watching. 8 pm sony	Found
Hi puneet , i found haptik is very good but I'd it possible to have some call facilities on haptik	Found
Plz remind me to send file today at 3pm	Found
Alarm for 10:15	Not Found
Can u remind me @5 to check for places around Tosh	Found
I am really very much impressed about this kind of service	Found
Remind me of pabkaj tomo morning 7 50 am	Not Found
Yes, please.	Not Found
Remind me today at 6pm to exchange clothes of jeans	Found
And can u pls set Gaytri mantra as alarm tone	Not Found
Can You cancal my remainder	Not Found
On December 29	Not Found
Remind on 10 am today	Not Found
Nopes remind me on 23rd december 8:30a.m.	Not Found
Can you set the alram for 2:22 pm for today	Not Found
Ya remind me every day	Not Found
Set that alaram till 11.55pm	Not Found
I have to send marketing presentation by 2 pm	Found
Thanks for the reminder...	Not Found
Remind me morning 8am have naming ceremony	Found
Add a reminder for Thursday 24th Nov 10.00am	Not Found
Can you please set a reminder for tomorrow at 10 am TO BRING SAMPLE TEST PAPERS OF PHYSICS OF OSWAL PUBLICATIONS.	Found
Set all of them	Found
Reminder to Michael	Not Found
Remind me to dry clean sweater of rebika today at 7:10pm	Found
Where the alarm at 6:58PM	Found
December 10 ...11 o clk.night reminder me	Not Found
Sorry to disturb can i have one more reminder	Not Found
Schedule a reminder for 10 am today for deposition of service tax	Found
8:30 pm remainder for bag stuffs	Found
Reminder to take signed index for the practical exam	Found
Through call please	Not Found
Please call if possible	Found
Set a reminder for me on tomorrow 8 am	Not Found
I need to give the package box reminder	Found
I set it for today morning	Not Found
How to increase volume of reminder	Found
hi.could u change my 11pm reminder to 8pm reminder	Not Found
Can it be set from 9 am	Not Found
Set a reminder on 31st morning 10.15	Not Found
Get ready alarm please	Found
Remind me to make my ICICI Credit Card Payment	Found
Can u Make a reminder for Trouser alteration today at 4pm ?	Found
Remind me to get download the gps app for PG	Found
Dmart reminder at 3 pm to buy shaving cream	Found
Remind me to go Wwf on Monday at 6 pm	Found
University application filling completion. Reminder by 3 today	Found
Hi remind me to buy notebooks at 5pm today	Found
thnx for the reminder	Not Found
Please give me reminder for ticket booking on 05/01/17 at 10:00 am	Found
Thnx for reminder	Not Found
hey will remind me on wednesday for school picnic	Found
Remind me for public notice by 11.00am todau	Found
How you remind us	Not Found
can you set the alarm for same in my device?	Found
I want to set another reminder (to do list)	Not Found
Do you forget to remind me	Found
Remind me at 4.15 today to have protein	Found
Can you remind me about finding my language documents which I suppose to carry with me tomorrow at office?	Found
Dec 4 pa's	Not Found
Can u remind me to read news	Found
Can you make me remainder	Not Found
Does u guys are going to remind me or u guys going to wish..	Found
My reminder for atkt	Not Found
Can I reschedule the alarm for today?	Not Found
Hey Please remind me that I have to go for a movie on monday at 7pm.. Remind me at 3pm	Found
Remind me 2 have food	Not Found
In another 2 minutes please remind me to cal shyja	Found
Remind me to get tablets at 7 30.	Found
Will u remind me for food also	Found
Remind me to fax sumit bh	Found
Want to make a reminder	Found
Ok remind me later	Not Found
Could you please releat the timings of my reminders?	Found
Call me at 4.30,4.45.&.5.00	Not Found
sure	Not Found
Set reminder	Not Found
Hii mamm...I m asking u about DND?	Found
How many reminders did you set for me ?	Found
Remind me to send gre score to nyu today at 8 am	Found
Remind me to renew max bupa policy at 830 tonige	Found
Pleas set reminder @10:00pm tonight	Not Found
Just remind me everyday	Not Found
Remind at 6 in evening to wash clothes	Found
thanks for reminding	Not Found
Could you tell me about monthly fees of inlingua	Found
Daivahitham..... Remind me at 8 pm today....	Not Found
I we schedul it for whole week or till 4th of jan	Not Found
Please discontinue the reminder to take PPBS	Found
More reminder	Not Found
Hey how abt reminding me for green tea	Found
Will you remind only if I am connected to Internet?	Found
set a reminder for 12:45	Not Found
Can you remind me between 1:00 pm to 8:00pm	Not Found
Could you plz set a reminder for me to get my brother polio drops on date	Found
Could this haptic make a fake phone call to me	Not Found
Please remind me to make mom of the peer to peer meeting with STARTUPS @11:39 am on 22nd December.	Found
Remind me in every 15 minz	Not Found
Okay so this reminder will start from tommorrow??	Found
What will you remind me?	Not Found
Can you edit the reminder for me	Not Found
remember me i hv to mail somebody on monday....	Not Found
i want alarm at 12:30 pm	Not Found
Remind me today at 10 to put A tie in my school bag	Found
Send me my future reminders which I have scheduled	Not Found
Where is my remainder	Found
Remind me to recharge my phone on 10nth of every month	Found
Can you tell me about ATM withdraw limit?	Found
Can you please remind me for this task tomorrow at 2pm	Found
Ty for reminding	Not Found
By the way i usually request any sort of reminders through texts. Well is there an option to set the same through voice instructions?	Found
Please keep calling me.	Found
Set reminder for 15 min latter	Not Found
Remind me to purchase aamla form at the end of matva seri At 11:20 am tomorrow	Found
Call me on 918374933802	Found
Remind me to send 3mm 2 sheets and 5mm 2 sheets @75/kg to kbg induction at 12pm tommorow	Found
Shraddha I dint get the remainder🙁	Not Found
What about website megs from my clg ?	Found
ReMinder to leave office by 8 pm	Found
Remind me on Sunday 6 pm to watch zee telugu	Found
Plz remind me 10 to 7	Not Found
Thanks bro	Not Found
Namaz reminder	Not Found
Remind me to make payment of Rajesh Cable today 08:00pm	Found
Set reminder after 30 sec	Not Found
Hi cud u delete all the earlier reminders	Found
Please set reminders between 0515–0630 hours. Each reminder after every five minutes. Please set the reminder for tomorrow	Not Found
Remind me everyday three times..till 29th..	Not Found
Ser reminder for vcci expo	Found
Reminder needed	Not Found
Remind me to do accounts of ramdev on 3rd of december	Found
Remind me to tell Navya to take her ss tax book	Found
Khairthal me tija kha h	Found
When will you remind me now	Not Found
Will you be reminding me this every hour??	Found
Hi please remind me to fill the timesheet at 4th January 10.30pm IST	Found
Remind me day after tomorrow for payment of SANTOSH to collect at 10am	Found
Set a reminder for me at 9.45 pm	Not Found
Can u do weekdays schedule	Not Found
Remind me i have to watch science of stupid at 3pm	Found
Hey..please remind me of turning on the Refrigerator at 1700 hrs..	Found
Remembers	Not Found
Hey, please remind me to return the sherwani before 7 pm today.....	Found
Remind me in tomorrow	Not Found
Add a new to-do Task: Call to kensha Date: November 19, 2016 Time: 2 29 AM	Not Found
Thanjs for reminding	Not Found
Kindly reminder me	Not Found
Please remind to order the cake tomorrow at 9 am	Found
Can u give me a gym schedule?	Found
Please remind me tomorrow that I have to go to barber	Found
Can u remind me at 2,3,4,5,6 am to take 224 m/c data today	Found
Did you make a reminded for Aishwarya	Not Found
Can u send me a reminder one day before bday	Not Found
I have one more reminder	Not Found
Remind me to get a train	Found
Please. Thanks.	Not Found
Remind me to take sim card from hari at today evening 5:30pm	Found
You guys give a call or msg?	Found
Do one thing remind me@ 5.50 pm today	Found
Remind me to eat bananas after 12:00Am	Found
Can I got reminder on whatsapp	Found
Keep alarm at 6:15am on weekdays	Found
Please reminder me tomorrow picked kaju	Found
Call Kannan tomorrow 11'0 clock	Found
Remind me to take a reservation tomorrow on time 10:30am	Found
So. The calls will be from an IVR? Automated voice?	Not Found
Reminder 1.30 pm task duvet today	Not Found
ok thanks for reminding	Not Found
Hi sayali can u pls remind for the cat food at 10pm today	Found
Set 2 alarm for 9.30 am and 8.00 pm	Not Found
23 11 miting plzzz reminder mee	Not Found
Reminder on 22nd for visiting chakiat on 23rd	Found
REMIND ME TO RENEW INSURANCE OF EVALIA ON 10/1/17	Found
Also please remind to go gyming everyday at 6.50 pm	Found
Do i have to have internet access for the reminder services to work?	Found
Call me at 8:15am to 9:00am after every 2mins	Not Found
Can you please set a reminder for today at 6 p.m?	Not Found
Ya that would be greay	Not Found
By which mode will you remind	Found
I want to speak and put a reminder without typing	Found
Can u plz set timing to 12pm to 8pm	Not Found
All the reminder came just now	Not Found
I wanted to chaing madam & am Luthemath data	Found
Thanks for reminder guys	Not Found
11.59 - 17 jan	Not Found
Today remind me to buy napkins at 07:30 PM	Found
Add reminder to keep calm and be silent	Found
Could you remind me to send quote in half and hour	Found
Call me at 9:00 pm	Found
Please call me at 7.35	Not Found
18 december is birthday of my friend jayachandran's daughter	Found
I set the reminder at 12.00 am	Not Found
Remind me for activa insurance renewal	Found
Please i naver need my all reminder	Not Found
dvd,fan,ticket book,garden,call rekha,iron,recharge,washer,med chkup	Found
Remind me to pay my car EMI on 23/11/16 around 9 in evening.	Found
Remind me to speak with kalpatru's parents regarding meeting.	Found
I am getting reminders only when I am opening the application...	Found
Please make this reminder as 12pm to 9pm just for monday to friday	Not Found
Remind to check on food	Found
But make a call on 91 866 005 8991	Found
Need to set a reminder	Not Found
Listn na jzt remind me tomorrow to take fullscapes all subjects digest....	Found
Remind me tomorrow morning at 9 am for the bank deposit	Found
Can you please remind me for a haircut tomorrow at 8:30am	Found
You can remind me after 8:00 pm too	Not Found
Please edit the morning alarm	Not Found
When is my alarm scheduled	Found
Hi!can you please remind me to keep the kitty money tomorrow morning at 10:30	Found
Can you remind me to eat ice cream everyday	Found
please remind me to service my vehicle at 2:00pm today	Found
Another b-day reminder	Not Found
Remind me to go home at 9 pm today	Found
Set my class reminder at 11.15am	Not Found
9911857301	Not Found
Reshma, remind me to write mail to my professor at 1130	Found
Can u please remind me today at 3.45 to carry my shoe and blazers	Found
Remind me to deliver a book to bhavika by 11.00am today I.e 9-1-2017	Found
Please unsubscribe the every Sunday's formuale book reminder	Not Found
Remind me on 9th Dec	Not Found
8 am	Not Found
Schedule another meeting tomorrow for vlsi-lab at vemue two pm	Found
Remind me to go to library tomorrow at 10 am	Found
When i opned the app.. Then reminder comea	Found
Remind me abt going to Airport on 22ndnov at. 10a.m.thanqe.	Found
Sorry i want reminder for 30 Dec 2016 Time : 11 55 PM	Not Found
Remind me for paying rent today	Found
Remind me about buying pen & cold coffee	Found
Tomorrow remind me to buy bed head silver spray from hakim alim around 4:00pm	Found
Change the reminder time	Not Found
Set a reminder for that at 12:30	Not Found
But can I get call for this	Not Found
Thanks and remind me to fix an appointment with guru at 9.30 am	Found
Remind me tomorrow morning @ 8am	Not Found
If you could tell me about champ cash app	Found
Remind me at 8pm today	Not Found
Thnq for reminding me	Found
Set an reminder	Not Found
Remind me to wash my clothes at 11 pm today	Found
Please delete all the alarms	Found
Just remind me to fill tdv form	Found
Please remind me of my insurance policy payment..on 10 Dec 16	Found
remind me to take a notebook	Found
Remind me on 30th november to take rs.450 from kishan	Found
I have to add more reminders	Found
Could you remind me tomorrow afternoon at 1330 hrs that I need to pay Jeevan ?	Found
What to get the wakeup call we should need internet for that ?	Found
Well thanks Shraddha for reminders.. I appreciate it..	Not Found
Plz set up a reminder for tomorow at 9.30 am Subject- send s 13th nov event	Found
Office cab @11-45Am	Not Found
Thank you ... I have done the work... As I am in meetings I couldn't pick call...	Found
The app will work for this even when the phone is offline for this reminder??	Found
Remind me to wash towels in the next 15 minutes	Found
set a alram at 5 am	Not Found
To call jishnu da at 9 a.m. today and fix the conference time in the evening.	Found
Will u plz remind me aftr 10 min...jst bcoz I want to go smewhere ..so plzz	Found
Set a reminder to eat at 9 pm today	Found
Just want to set the remainder	Not Found
Remind me only haptik app	Found
Put a reminder for 30/12/16,friday Matter is- check shopping list ...inside the pen box	Found
Need a reminder for aditya fee pay on jan 04, 2017 at 10.45AM	Found
Set alarm for today after every one hour till 5 am	Not Found
Hey can u remind me to do my 4g recharge on 21st december 12:30 am night	Found
Remind me to take adarsh's documents on Monday. Remind me tomorrow night	Found
Wht r the reminders for today	Found
SSC Exam form filling reminder...	Found
Ya	Not Found
Remind me tomorrow at 12 for my meeting with Ms Neetu Ohri at 2pm tomorrow	Found
How can I Herr just use a simple reminder	Not Found
How reminder will work ?	Found
Daily schedule	Not Found
Remind me for pratul haria at 9 pm today	Found
Remind me Tomorrow at 9:45 am to talk with roshan about nose pin..	Found
Also remind me on 15 December 11 am that I.ve to send the Monthly Report to UNICEF	Found
Thanks pourush	Not Found
Reminder Jan 1st around 1pm.. Friends coming over at 4pm.. Thanx	Found
Reminder about kakali	Found
Please remind me to pay electricity bill tomorrow at 9.a.m. morning	Found
Need remainder	Not Found
pls remind me	Not Found
Please delete the previous reminder set for 4:30 am on Jan 09, Monday	Not Found
Change it to msg reminder	Found
u guys give me only miss call	Found
Remind me at 10am everyday for tea	Found
Can u plz remind me	Not Found
Pls close my reminders	Found
Where is shradha?	Found
I wanted to know about the order placed through Flipkart	Found
Can u also remind me to cal snigdha at 8pm	Found
plz reminds me that on cv print	Found
Remind me above task @ 3	Not Found
Marriage of daughter of Sumantra on 2nd February. Please remind me on 30th January.	Not Found
Need a reminder to eat every 2 hrs	Found
Also set a reminder on 9667000974 at 10.30 am on 9.1.2017	Not Found
hey,remind me to sleep after 30 minutes	Found
Hey get me a alarm of 6pm for work out	Found
Can you set reminder for my friend??	Found
Remind me 'blue orange' on 6th jan. 7PM to 12 midnight. Every hour	Found
Remind me to submit electricity and gas bill tomorrow at 10am	Found
Remind me agaain and again First at 2.45 then 2.50	Found
Need a reminder at 9am to give my passport to tanya	Found
U forgot to call me	Found
I need a call at 11 itself	Found
Plz alert me when is the lowest flight fare from delhi to Goa in January last week or feb 1st week	Found
Remind me to check Linkedin, gmail, yahoo everyday	Found
Set a reminder @ 6:30 pm	Not Found
Please remind me to file for reimbursement today 9pm	Found
Thankyou for all reminders 😄😄👌	Found
Can I add one more reminder pls	Not Found
How can I set reminder for my investment and lone EMI	Found
Mr. Rajendra see now I am getting reminder once I opened your app	Not Found
But I haven't set thebreminder	Not Found
Schedule it every day frm today till 17nov	Not Found
Do you know which task am i talking about ?	Found
Remind me tommorow	Not Found
Remind me of my frnds birthday on 30 jan	Found
Date: November 7, 2016 Time: 12 02 p.m. Name of Person: Shree electrical ko call karana hai	Found
I sleep all day.	Found
Please cancell wakeup call @5:20	Found
Means u have scheduled 6 alarms in a gap of 10min	Found
Tell me about health drink	Found
Set a reminder for 3PM Friday	Not Found
Can you remind me to do web check-in at 11 tonight?	Found
Mujhe reminder schedule karwana hai.	Found
Remind me on 28 December for renewal my train pass	Found
Remind me about dry fruits schedule daily	Found
Remind me to take my salary slip at 3:30	Found
Gd mrng	Not Found
Hello, isn't there a sound enabled reminder	Not Found
Collection money from market reminder is for daily	Found
Remind me to ask my aunty that when they r leaving frm kochin ..	Found
What all are my daily reminders?	Found
Infact i wanted to know about an university results	Found
Remind me to refill my 3G balance on 22nd December at 10 am	Found
Set an reminder for print outs of passport documents	Found
I need to be remind daily	Not Found
Had asked for a reminder to be scheduled every alternate day but have been getting a reminder every day	Found
And it will also set for tomorrow at 9:30pm	Not Found
And also remind me to go pick up ammu at 10 am tomorrow	Found
Set alarm for 7:15 am	Not Found
Please shut down all the current reminders	Found
Pls give 100 rupee notes. Take all my 500 and 2000	Found
See my reminder	Not Found
Yeah sure, remind me everyday	Not Found
How ll you remind me	Not Found
Can u set reminder for catching train on 4th Jan @ 3 pm	Found
Please remind me tomorrow 10.30 AM for Ticket confirm	Found
Please remind for calling Deepak Kapur after every two hours today	Found
Set a reminder of Daily horoscope for Capricorn	Found
Hey can you set me a reminder	Not Found
Set up an alarm at 3 p.m	Not Found
Can u send me a reminder at 8.25	Not Found
Please can you remember me at 4:07pm	Not Found
Remind me to message Yoshita, asking her out for movie	Found
Any news about the U. S ELECTIONS?	Found
I'll get a call from you right?	Found
okay	Not Found
Remind me to buy clothes for my grandmother tomorrow at 12 : 45	Found
What do you think about Netflix? Worth buying ?	Found
Remind me abt smart watch	Found
Set remainder for 1.40 pm today	Not Found
I have to go to gor completion of project so remind me at 2:30 pm today	Found
Remind me at 6:33	Not Found
Thanks for the reminder kindly donot remind me now	Not Found
Remind me nowvplease	Not Found
Remind me 3 times at 10 minutes of interval	Found
Yes.. Remind me evryday	Not Found
Remind me. Doc upload on ultimatix. At 12 noon . Today	Found
Set reminder to watch one tv program at 7.30 pm tomorrow	Found
Thanx for reminder	Not Found
Can you pls set a reminder at 1o clock for my work time its for today only	Found
Can you do anything else except reminder	Not Found
I want to know how to activate international calling in airtel postpaid	Found
Tution remind	Not Found
Did u came to know about Tamil nadu current situation	Found
Remind me about jewelry for mom	Found
Plz remind me abt program schedule at 8:00 am morrow	Not Found
Also give me a call at 8 15 am in the morning	Found
Remind me to take stamp paper on 10/12/16 at 8:35 am	Found
So conclusion I do have two reminder one for tomorrow and one for 1st jan?	Found
Remind me to.take print of my ticket tomorrow at 12.20 pm	Found
Can you Cancle my alarm at 6:45?	Not Found
Tommorow remind me at 5:00 pm to go to stationary	Found
Hey Id like a pause on my drinking reminder	Found
how you will remind me?	Not Found
Remind to deposit cheque on monday	Found
Hey, can you remind me my sleeping time	Not Found
Why u did call me at morning	Not Found
Remind me fees	Not Found
Remind me about the movie at 8 pm tomorrow	Found
I need a reminder on Monday that is 14 November that I have to remind everybody to get 1m swatches for daf class. I need it at 9pm	Found
Remind me after 1hr 50 minutes	Not Found
Remind me on regular intervals	Found
Please remember me to take application on friday	Found
I need reminder on every one hour...Can you do	Not Found
Name: Nikita (kvn tomm) Date: June 21, 2017 Time: 8 00 PM	Not Found
Can I set the good morning messages to other as surprise?	Not Found
Pls remind this to me everyday	Not Found
Will you provide reminder daily...or for just a day??	Found
I'll send you the same by middle of the day. Can you remind me again at 3 pm?	Found
Meeting Reminder Date: November 21, 2016 Time: 5 00 p.m. Meeting with: Maithili mane Venue: Arc	Not Found
Remind me to take deposits from hospital tomorrow 9 am	Found
Hi please remind me to carry ericas helmet to office	Found
Remind me at 8 to keep the capsules in the bag	Found
Set an alarm for me at 4:58 am	Not Found
Remind to go indigo	Found
Date is 20 Feb	Found
I wanted to set a reminder for 15th Dec at 10:30 am.	Not Found
Yes i need to add one reminder	Found
Reminder for tomorrow at 1pm to send invoice	Found
Yes thankyou but please .. dnt call at that time.. Just drop a msg	Found
Do I need to be online for a reminder to work?	Found
Yes. Remind me every one hour	Not Found
Remind me East Bengal	Found
Can you set an alarm for 6am	Not Found
Plz remind me tomorow to book cylinder for home. At 8.30am	Found
Set a alarm on 5th of December that I have to throw some thing	Found
I want to track my parcel	Found
Name: shubhanshu Date: July 18, 2017 Time: 11 55 PM	Not Found
Can u please remind me to go to my friends house at 1:00 pm today	Found
Good morning Soubia	Not Found
Can you remind me to see movie on television	Found
Make sure u call me at 8878076202	Not Found
And remind to take paras's speaker	Found
Remind me at 5.30pm today for attend clicnic	Found
reminder of cash deposit on 29th nov at 9.30am	Found
yes i called him up thanks	Not Found
Hi, can you please remind me to talk to Subodh on 26th December	Found
Is my reminder on?	Not Found
Reminder subject	Not Found
Why reminders are dimissed?	Found
Can you remind me on 4 th December that I have to download Mrunals videos	Found
Set a alram for 4 pm today	Not Found
Sry	Not Found
Marriage reminder	Not Found
Remind me to print photos this weekend	Found
Please remind me about my atm visit at 3.30 pm	Found
Remind me at 12 am	Not Found
Please plz remind me at 3:30 pm for gift card purchase	Found
Tution reminder	Not Found
Remind me today at night	Not Found
Are the reminders personal?	Not Found
Reminds me to have n apple at 10 pm	Found
Tanu trivani	Not Found
Set reminder at 3:25 pm	Not Found
Can you remind me about my rrvunl exam on 22nd November	Found
There is more reminder I have tell to you	Found
Remind me at 10	Not Found
Reduce my alarms from 10-3.	Found
Ty for d reminder	Not Found
Today alarm 05:03 pm	Not Found
And what about other reminders	Found
Remind me to buy how to talk to anyone	Found
Remind me about going to ECIT on Saturday @ 9 AM	Found
Meeting Reminder Date: November 15, 2016 Time: 10 00 pm Meeting with: Collimbia Venue: Kotnurdinne	Not Found
Remind to put battery for charging at 8pm tonight	Found
I receive a call every day from you at around 9:00 pm I want to deactivate that	Found
Remind me at 6.30	Not Found
7879449388	Not Found
Well you have to remind me about a product	Found
Will u call or SMS	Found
Please call 2 times	Not Found
Remind me about saying something to my father at 1pm	Found
Dan, does haptik has the feature of gps based reminder??	Found
I want this reminder from 11:00 AM to 11:00 PM	Not Found
Reminders	Not Found
Please call till i attend the call	Not Found
Can you set same at 14:30 also	Not Found
Hello gud mrng	Not Found
I would prefer a call every hour than a chat msg	Found
I had called him	Found
Remind me tomorrow that i have to take my mother to dentist tomorrow at 8:30 A.M	Found
Kk thanks fr reminding	Not Found
And reminder to take tablets	Found
Remind me on 22nd novemver 2016 that i have to take all my bags from pankaj the one i kept in his godown	Found
Remind me to sing	Found
Please give me some suggest about English speaking??	Found
Remind me in ram Mandir	Not Found
I like to get a reminder on 28th November by morning 12 o' clock it is my friend's birthday	Found
Remind me at 7pm today to prepare DBMS ppt.	Found
Remind me to turn on washing machine today at 945am	Found
Remind me to enquir for versa tommorow at 9 am	Found
Remind me from 8pm 6am	Not Found
Can you please close the reminders for me?	Not Found
But i need the alarm for everyday	Not Found
Tcs meeting reminder at 10 am today	Found
Can you remind me that I have to buy gifts at 11 am today	Found
I have already set this reminder before	Not Found
Remind me to create APG Deck on 25th November. Thanks.	Found
Remind me for sample request for cutmac	Found
Please remind me to buy cold cream	Not Found
Can u remind me at 6 pm today for doing pooja in office atrange milk	Found
Also set up an alarm at 7.30	Not Found
Make reminder for me at 8:45 pm	Not Found
Hi can you remind me to change profile to silent	Found
Change my alarm to 7:55am	Not Found
I'm done with getting reminder	Found
Remind me to submit pan form	Found
I want to set another reminder	Found
remind me from 9:00AM to 10:00PM	Not Found
Pl remind me to prepare excel sheet for Gst at 2 p.m. today	Found
Give me calls at 5:00 am 5:30 am n 5:45 am today	Not Found
How can we set to-do list ?	Not Found
